categorized
120
2
5,1,8
5,2,15
6,2,15
2,5,8
6,1,15
5,1,8
2,1,8
1,10,8
5,3,8
3,1,8
6,4,15
5,1,15
4,1,15
3,2,8
5,3,15
2,9,15
4,1,8
5,2,15
3,6,8
5,1,8
2,2,8
3,6,15
6,1,15
4,2,8
2,2,8
2,5,8
4,6,8
5,10,15
4,1,15
3,3,8
5,1,15
5,2,8
4,1,8
3,1,15
4,4,15
4,2,15
4,1,8
4,2,15
1,10,8
5,2,8
2,7,15
6,1,8
5,5,8
5,7,8
4,3,15
3,9,15
6,8,8
3,6,15
4,4,15
6,11,8
1,9,8
5,2,15
2,6,15
1,7,15
3,3,8
6,10,8
3,6,15
5,8,15
3,1,15
4,10,8
4,11,15
3,6,15
4,7,8
2,9,15
3,8,8
2,5,15
1,1,15
6,7,8
1,10,15
2,6,15
5,2,8
2,7,8
6,5,15
3,7,8
2,2,15
6,10,8
1,3,8
5,5,8
5,9,8
4,4,15
3,9,8
4,7,15
4,1,8
3,2,15
3,11,15
6,4,8
2,5,8
2,7,8
4,3,15
4,8,8
6,6,15
3,8,15
5,9,15
6,2,15
6,3,8
3,10,8
2,11,15
4,6,8
3,7,15
4,1,8
6,9,15
3,4,8
2,3,8
3,5,8
6,10,15
6,7,8
1,2,15
2,9,15
5,5,8
1,8,8
1,4,8
6,10,8
4,3,15
4,7,15
5,11,15
3,3,8
6,8,15
5,6,15
3,2,15
3,11,8
6,8,15
