categorized
120
2
2,2,8
2,3,8
4,3,15
1,3,8
3,3,8
2,2,8
1,2,8
2,2,8
2,3,8
2,3,8
3,3,8
2,3,8
2,1,8
1,2,8
1,1,8
1,3,8
1,3,8
1,2,8
2,3,8
2,3,8
6,3,15
1,1,8
4,3,15
3,3,8
3,1,8
4,1,15
2,1,8
2,2,8
3,2,8
5,2,15
3,1,8
2,1,15
1,1,8
1,3,8
1,2,8
2,3,8
2,3,8
3,1,15
4,1,15
2,1,8
5,3,15
1,3,15
1,3,15
6,2,8
8,2,15
5,2,8
2,1,8
1,3,15
6,2,8
3,1,8
3,1,15
3,3,15
4,2,8
3,3,15
5,2,8
3,1,15
5,3,8
6,2,8
6,2,8
5,1,8
5,1,8
1,3,15
6,2,8
4,1,8
1,1,15
5,2,8
3,2,15
3,2,15
2,3,15
5,3,15
6,1,8
6,1,8
3,2,8
5,2,8
4,3,15
3,1,15
3,2,15
2,3,15
2,1,8
2,3,15
5,1,8
1,1,8
1,1,8
4,2,8
1,2,15
1,1,15
1,1,15
3,3,15
3,2,8
5,2,15
4,3,8
1,3,15
4,2,8
5,3,8
6,2,15
5,2,8
2,1,15
2,3,15
5,1,15
4,2,15
5,1,15
1,3,8
4,2,8
1,2,15
1,1,8
2,3,15
4,2,15
6,3,15
5,2,15
6,1,8
5,1,15
2,3,15
3,2,15
2,1,15
2,2,8
4,2,15
6,3,15
2,1,8
2,2,8
2,3,15
4,3,8
