categorized
120
2
4,30000,8
6,100000,15
5,300000,8
5,30000,15
5,600000,8
6,20000,8
5,15000,15
5,50000,8
6,80000,15
4,150000,8
5,800000,8
6,800000,15
6,5000,15
4,8000,15
3,30000,8
6,60000,8
5,85000,15
6,200000,15
5,250000,8
6,150000,8
5,750000,8
6,80000,15
3,500000,8
6,500000,8
6,650000,15
5,175000,8
6,300000,15
6,30000,15
6,50000,8
4,100000,8
1,5000,8
3,10000,8
5,10000,15
5,25000,8
5,75000,15
3,60000,8
6,800000,15
5,500000,8
5,20000,15
6,400000,8
1,900000,8
3,100000,15
4,125000,8
4,75000,8
1,85000,8
6,150000,8
3,210000,15
6,250000,8
3,225000,8
2,35000,8
6,45000,15
6,650000,8
3,366000,8
2,800000,8
2,275000,15
1,35000,15
1,750000,8
4,525000,8
4,635000,8
2,110000,15
1,70000,8
4,900000,8
3,615000,8
3,95000,8
4,185000,15
3,341000,15
2,485000,8
2,636000,15
5,724000,8
3,995000,8
3,120000,15
3,270000,15
1,425000,8
4,565000,15
3,650000,8
1,165000,15
2,575500,8
4,720000,15
3,15000,15
5,846000,8
2,50000,15
6,100000,15
2,50000,15
5,25000,8
4,5000,8
3,12000,8
4,45000,8
5,500000,8
5,200000,15
4,25000,8
5,10000,8
4,350000,8
5,30000,15
4,75000,8
5,12000,8
1,250000,8
5,80000,15
1,90000,8
1,60000,8
3,32000,8
1,100000,8
4,50000,15
5,15000,15
4,48000,8
4,85000,8
4,300000,15
5,25000,8
1,70000,8
6,18000,15
4,65000,8
3,24000,8
5,400000,8
5,22000,8
1,500000,15
5,35000,15
3,42000,8
3,14000,8
5,350000,8
5,62000,8
5,150000,8
6,480000,8
